RUN	gatling_viade_es1c.seefriends1user	seefriends1user	1588334383095	 	3.3.1
USER	seefriends1user	1	START	1588334384630	1588334384630
REQUEST	1		request_0	1588334384678	1588334384741	OK	 
USER	seefriends1user	2	START	1588334384830	1588334384830
REQUEST	2		request_0	1588334384831	1588334384850	OK	 
USER	seefriends1user	3	START	1588334385039	1588334385039
REQUEST	3		request_0	1588334385040	1588334385059	OK	 
USER	seefriends1user	4	START	1588334385239	1588334385239
REQUEST	4		request_0	1588334385240	1588334385278	OK	 
USER	seefriends1user	5	START	1588334385438	1588334385438
REQUEST	5		request_0	1588334385439	1588334385459	OK	 
USER	seefriends1user	6	START	1588334385644	1588334385644
REQUEST	6		request_0	1588334385645	1588334385661	OK	 
USER	seefriends1user	7	START	1588334385840	1588334385840
REQUEST	7		request_0	1588334385841	1588334385855	OK	 
USER	seefriends1user	8	START	1588334386038	1588334386038
REQUEST	8		request_0	1588334386039	1588334386054	OK	 
USER	seefriends1user	9	START	1588334386243	1588334386243
REQUEST	9		request_0	1588334386244	1588334386248	OK	 
USER	seefriends1user	10	START	1588334386440	1588334386440
REQUEST	10		request_0	1588334386440	1588334386450	OK	 
USER	seefriends1user	11	START	1588334386641	1588334386641
REQUEST	11		request_0	1588334386641	1588334386646	OK	 
USER	seefriends1user	12	START	1588334386819	1588334386819
REQUEST	12		request_0	1588334386820	1588334386829	OK	 
USER	seefriends1user	13	START	1588334387023	1588334387023
REQUEST	13		request_0	1588334387024	1588334387031	OK	 
USER	seefriends1user	14	START	1588334387222	1588334387222
REQUEST	14		request_0	1588334387223	1588334387229	OK	 
USER	seefriends1user	15	START	1588334387419	1588334387419
REQUEST	15		request_0	1588334387420	1588334387427	OK	 
USER	seefriends1user	16	START	1588334387621	1588334387621
REQUEST	16		request_0	1588334387622	1588334387628	OK	 
REQUEST	1		request_1	1588334387775	1588334387782	OK	 
REQUEST	1		request_3	1588334387798	1588334387809	OK	 
REQUEST	1		request_4	1588334387799	1588334387812	OK	 
USER	seefriends1user	17	START	1588334387819	1588334387819
REQUEST	17		request_0	1588334387820	1588334387827	OK	 
REQUEST	1		request_2	1588334387797	1588334387841	OK	 
REQUEST	2		request_1	1588334387861	1588334387865	OK	 
REQUEST	2		request_4	1588334387870	1588334387884	OK	 
REQUEST	2		request_3	1588334387868	1588334387886	OK	 
REQUEST	2		request_2	1588334387867	1588334387914	OK	 
USER	seefriends1user	18	START	1588334388020	1588334388020
REQUEST	18		request_0	1588334388021	1588334388026	OK	 
REQUEST	3		request_1	1588334388075	1588334388079	OK	 
REQUEST	3		request_3	1588334388082	1588334388092	OK	 
REQUEST	3		request_4	1588334388083	1588334388093	OK	 
REQUEST	3		request_2	1588334388081	1588334388125	OK	 
USER	seefriends1user	19	START	1588334388219	1588334388219
REQUEST	19		request_0	1588334388220	1588334388227	OK	 
REQUEST	4		request_1	1588334388290	1588334388295	OK	 
REQUEST	4		request_4	1588334388300	1588334388309	OK	 
REQUEST	4		request_3	1588334388298	1588334388310	OK	 
REQUEST	4		request_2	1588334388297	1588334388343	OK	 
USER	seefriends1user	20	START	1588334388424	1588334388424
REQUEST	20		request_0	1588334388425	1588334388432	OK	 
REQUEST	5		request_1	1588334388472	1588334388476	OK	 
REQUEST	5		request_3	1588334388479	1588334388488	OK	 
REQUEST	5		request_4	1588334388480	1588334388489	OK	 
