RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332311617	 	3.3.1
USER	visualize1user	1	START	1588332313241	1588332313241
REQUEST	1		request_0	1588332313277	1588332313347	OK	 
USER	visualize1user	2	START	1588332313741	1588332313741
REQUEST	2		request_0	1588332313742	1588332313762	OK	 
USER	visualize1user	3	START	1588332314239	1588332314239
REQUEST	3		request_0	1588332314240	1588332314256	OK	 
USER	visualize1user	4	START	1588332314738	1588332314738
REQUEST	4		request_0	1588332314739	1588332314756	OK	 
USER	visualize1user	5	START	1588332315240	1588332315240
REQUEST	5		request_0	1588332315240	1588332315259	OK	 
REQUEST	1		request_1	1588332315370	1588332315377	OK	 
REQUEST	1		request_2	1588332315394	1588332315397	OK	 
REQUEST	1		request_4	1588332315396	1588332315403	OK	 
REQUEST	1		request_3	1588332315394	1588332315409	OK	 
USER	visualize1user	6	START	1588332315729	1588332315729
REQUEST	6		request_0	1588332315730	1588332315746	OK	 
REQUEST	2		request_1	1588332315773	1588332315782	OK	 
REQUEST	2		request_2	1588332315784	1588332315791	OK	 
REQUEST	2		request_4	1588332315786	1588332315796	OK	 
REQUEST	2		request_3	1588332315785	1588332315798	OK	 
USER	visualize1user	7	START	1588332316232	1588332316232
REQUEST	7		request_0	1588332316233	1588332316249	OK	 
REQUEST	3		request_1	1588332316269	1588332316276	OK	 
REQUEST	3		request_2	1588332316278	1588332316282	OK	 
REQUEST	3		request_4	1588332316280	1588332316286	OK	 
REQUEST	3		request_3	1588332316279	1588332316290	OK	 
REQUEST	1		request_5	1588332316400	1588332316403	OK	 
REQUEST	1		request_6	1588332316406	1588332316412	OK	 
USER	visualize1user	8	START	1588332316731	1588332316731
REQUEST	8		request_0	1588332316732	1588332316749	OK	 
REQUEST	4		request_1	1588332316774	1588332316784	OK	 
REQUEST	4		request_2	1588332316788	1588332316793	OK	 
REQUEST	4		request_4	1588332316791	1588332316798	OK	 
REQUEST	4		request_3	1588332316789	1588332316801	OK	 
USER	visualize1user	9	START	1588332317229	1588332317229
REQUEST	9		request_0	1588332317229	1588332317234	OK	 
REQUEST	5		request_1	1588332317271	1588332317278	OK	 
REQUEST	5		request_2	1588332317279	1588332317282	OK	 
REQUEST	5		request_4	1588332317281	1588332317286	OK	 
REQUEST	5		request_3	1588332317280	1588332317292	OK	 
REQUEST	3		request_5	1588332317293	1588332317296	OK	 
REQUEST	3		request_6	1588332317297	1588332317299	OK	 
USER	visualize1user	10	START	1588332317730	1588332317730
REQUEST	10		request_0	1588332317730	1588332317742	OK	 
REQUEST	6		request_1	1588332317762	1588332317766	OK	 
REQUEST	6		request_2	1588332317767	1588332317771	OK	 
REQUEST	6		request_4	1588332317769	1588332317780	OK	 
REQUEST	6		request_3	1588332317768	1588332317783	OK	 
REQUEST	4		request_5	1588332317810	1588332317812	OK	 
REQUEST	4		request_6	1588332317813	1588332317816	OK	 
USER	visualize1user	11	START	1588332318232	1588332318232
REQUEST	11		request_0	1588332318233	1588332318241	OK	 
REQUEST	7		request_1	1588332318268	1588332318274	OK	 
REQUEST	7		request_2	1588332318276	1588332318279	OK	 
REQUEST	7		request_4	1588332318278	1588332318283	OK	 
REQUEST	7		request_3	1588332318277	1588332318285	OK	 
REQUEST	5		request_5	1588332318290	1588332318293	OK	 
REQUEST	5		request_6	1588332318294	1588332318297	OK	 
REQUEST	1		request_7	1588332318421	1588332318703	OK	 
USER	visualize1user	12	START	1588332318718	1588332318718
REQUEST	12		request_0	1588332318718	1588332318725	OK	 
REQUEST	8		request_1	1588332318759	1588332318763	OK	 
REQUEST	8		request_2	1588332318765	1588332318768	OK	 
REQUEST	8		request_4	1588332318766	1588332318772	OK	 
REQUEST	8		request_3	1588332318766	1588332318774	OK	 
REQUEST	6		request_5	1588332318790	1588332318793	OK	 
REQUEST	6		request_6	1588332318794	1588332318796	OK	 
USER	visualize1user	13	START	1588332319218	1588332319218
REQUEST	13		request_0	1588332319218	1588332319223	OK	 
REQUEST	9		request_1	1588332319250	1588332319254	OK	 
REQUEST	9		request_2	1588332319256	1588332319259	OK	 
REQUEST	9		request_4	1588332319257	1588332319263	OK	 
REQUEST	9		request_3	1588332319256	1588332319265	OK	 
REQUEST	7		request_5	1588332319292	1588332319295	OK	 
REQUEST	7		request_6	1588332319296	1588332319300	OK	 
REQUEST	3		request_7	1588332319313	1588332319399	OK	 
USER	visualize1user	14	START	1588332319730	1588332319730
REQUEST	14		request_0	1588332319730	1588332319735	OK	 
REQUEST	10		request_1	1588332319762	1588332319767	OK	 
REQUEST	10		request_2	1588332319768	1588332319772	OK	 
REQUEST	10		request_4	1588332319771	1588332319777	OK	 
REQUEST	10		request_3	1588332319769	1588332319778	OK	 
REQUEST	8		request_5	1588332319778	1588332319780	OK	 
REQUEST	8		request_6	1588332319781	1588332319783	OK	 
REQUEST	4		request_7	1588332319809	1588332319898	OK	 
USER	visualize1user	15	START	1588332320229	1588332320229
REQUEST	15		request_0	1588332320230	1588332320235	OK	 
REQUEST	11		request_1	1588332320250	1588332320255	OK	 
REQUEST	11		request_2	1588332320257	1588332320260	OK	 
REQUEST	11		request_4	1588332320258	1588332320265	OK	 
REQUEST	11		request_3	1588332320257	1588332320268	OK	 
REQUEST	9		request_5	1588332320272	1588332320274	OK	 
REQUEST	9		request_6	1588332320275	1588332320277	OK	 
REQUEST	5		request_7	1588332320308	1588332320426	OK	 
USER	visualize1user	16	START	1588332320728	1588332320728
REQUEST	12		request_1	1588332320728	1588332320736	OK	 
REQUEST	16		request_0	1588332320729	1588332320737	OK	 
REQUEST	12		request_2	1588332320738	1588332320743	OK	 
REQUEST	12		request_4	1588332320740	1588332320746	OK	 
REQUEST	12		request_3	1588332320739	1588332320750	OK	 
REQUEST	10		request_5	1588332320781	1588332320783	OK	 
REQUEST	10		request_6	1588332320784	1588332320788	OK	 
REQUEST	1		request_8	1588332320698	1588332320872	OK	 
REQUEST	6		request_7	1588332320791	1588332320893	OK	 
REQUEST	1		request_13	1588332320887	1588332320898	OK	 
REQUEST	1		request_15	1588332320887	1588332320900	OK	 
REQUEST	1		request_16	1588332320888	1588332320905	OK	 
REQUEST	1		request_17	1588332320889	1588332320907	OK	 
REQUEST	1		request_19	1588332320890	1588332320909	OK	 
REQUEST	1		request_18	1588332320890	1588332320912	OK	 
REQUEST	1		request_20	1588332320899	1588332320913	OK	 
REQUEST	1		request_9	1588332320891	1588332320934	OK	 
REQUEST	1		request_12	1588332320894	1588332321085	OK	 
REQUEST	1		request_10	1588332320892	1588332321090	OK	 
USER	visualize1user	17	START	1588332321229	1588332321229
